FECHA,HORA,L蚇EA,MOTIVO,DURACION
26/10/2019,15:30:15,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:15:55
31/5/2019,13:00:12,A,Servicio con demora debido a la atencion medica a un usuario,00:15:53
24/8/2019,13:28:10,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:15:51
24/6/2019,15:50:02,A,Servicio limitado entre Carabobo y Plaza de Mayo,00:14:09
13/1/2019,19:04:02,A,Servicio interrumpido,00:14:07
24/6/2019,18:36:04,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:14:05
24/9/2019,18:36:11,A,Los trenes no se detienen en la estacion Congreso,00:14:01
30/10/2019,12:40:07,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:13:57
7/6/2019,18:24:08,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:13:56
7/6/2019,18:42:10,A,Servicio con demora,00:13:52
8/5/2019,22:28:10,A,Servicio con demora debido a la atencion medica a un usuario,00:13:52
10/6/2019,21:48:04,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:12:09
30/10/2019,10:40:03,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:12:07
21/8/2019,18:22:06,A,Servicio con demora debido a un problema tecnico,00:12:04
17/10/2019,22:40:09,A,Servicio limitado entre Plaza Miserere y San Pedrito,00:12:02
2/8/2019,21:40:06,A,Servicio con demora debido a un problema tecnico,00:12:01
12/9/2019,15:26:05,A,Los trenes no se detienen en la estacion Congreso,00:12:00
16/8/2019,01:14:09,A,Servicio con demora,00:12:00
22/5/2019,15:44:02,A,Servicio con demora,00:11:59
13/11/2019,22:50:19,A,Servicio limitado entre San Pedrito y Piedras,00:11:59
1/3/2019,11:20:07,A,Servicio limitado entre Plaza Miserere y San Pedrito ,00:11:56
24/5/2019,22:50:04,A,Servicio con demora debido a un problema tecnico,00:09:58
6/11/2019,20:50:14,A,Los trenes no se detienen en la estacion Puan,00:09:57
26/7/2019,13:30:08,A,Servicio limitado entre Carabobo y Plaza de Mayo,00:09:54
14/6/2019,20:50:14,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:09:51
14/6/2019,21:06:12,A,Servicio con demora,00:09:50
25/10/2019,23:10:15,A,Servicio con demora debido a la atencion medica a un usuario,00:09:50
8/2/2019,09:22:03,A,Servicio con demora,00:08:06
30/10/2019,10:54:09,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:08:05
18/10/2019,18:52:02,A,Servicio con demora debido a la atencion medica a un usuario,00:08:04
18/11/2019,17:38:03,A,Los trenes no se detienen en la estacion Lima,00:08:01
4/1/2019,20:22:09,A,Servicio con demora debido a la atencion medica a un usuario,00:08:00
18/3/2019,09:56:08,A,Servicio con demora debido a un problema tecnico,00:07:54
1/4/2019,10:50:11,A,Servicio con demora debido a un problema tecnico,00:07:53
20/8/2019,11:20:11,A,Interrupcion debido a un problema tecnico,00:07:51
6/9/2019,16:02:19,A,Interrumpida por medida de fuerza gremial,00:07:45
26/7/2019,16:54:04,A,Con demora por procedimiento policial,00:06:10
9/8/2019,19:08:05,A,Servicio con demora,00:06:06
17/1/2019,01:08:02,A,Servicio limitado entre Acoyte y Plaza de Mayo,00:06:06
26/9/2019,10:16:10,A,Servicio limitado entre Acoyte y Plaza de Mayo,00:06:02
16/5/2019,18:24:03,A,Los trenes no se detienen en Plaza Miserere,00:06:01
21/8/2019,00:22:02,A,Servicio con demora,00:06:00
10/6/2019,22:06:04,A,Servicio con demora,00:06:00
2/7/2019,17:08:02,A,Servicio limitado entre Plaza de Mayo y Loria,00:06:00
20/8/2019,11:32:10,A,Servicio con demora,00:05:53
24/6/2019,18:56:09,A,Servicio con demora,00:05:53
12/6/2019,21:18:12,A,Servicio con demora debido a un problema tecnico,00:05:51
4/10/2019,16:40:12,A,Servicio con demora debido a un problema tecnico,00:05:50
12/9/2019,15:46:02,A,Los trenes no se detienen en la estacion Congreso,00:04:11
29/8/2019,00:04:02,A,Interrumpida por medida de fuerza gremial,00:04:06
16/3/2019,15:28:02,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:04:06
21/8/2019,00:14:05,A,Servicio limitado entre Plaza de Mayo y Loria,00:04:05
17/6/2019,20:24:05,A,Servicio limitado entre San Jose de Flores y Plaza de Mayo,00:04:05
11/7/2019,22:00:09,A,Servicio limitado entre Acoyte y Plaza de Mayo,00:04:04
12/9/2019,15:40:15,A,Los trenes no se detienen en la estacion Congreso,00:04:03
15/7/2019,12:30:02,A,Servicio con demora debido a un problema tecnico,00:04:00
24/12/2019,20:22:04,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:04:00
17/10/2019,22:34:04,A,Servicio con demora debido a la atencion medica a un usuario,00:03:58
20/2/2019,22:42:08,A,Servicio limitado entre Acoyte y Plaza de Mayo,00:03:57
15/7/2019,12:36:11,A,Servicio limitado entre San Pedrito y Plaza Miserere,00:03:51
26/7/2019,16:48:16,A,Servicio con demora,00:03:46
14/8/2019,08:36:02,A,Interrumpida por medida de fuerza gremial,00:02:09
20/8/2019,11:16:04,A,Servicio con demora debido a un problema tecnico,00:02:06
27/9/2019,16:34:04,A,Servicio con demora,00:02:00
2/7/2019,17:04:03,A,Servicio limitado entre Plaza de Mayo y Loria,00:02:00
1/2/2019,13:34:09,A,Servicio con demora debido a la atencion medica a un usuario,00:01:59
1/2/2019,13:40:10,A,Servicio limitado entre San Pedrito y Rio de Janeiro,00:01:59
17/1/2019,00:42:07,A,Servicio con demora,00:01:55
13/11/2019,15:30:22,A,Servicio limitado entre Plaza de Mayo y Loria,00:01:53
10/6/2019,21:44:11,A,Servicio con demora debido a la atencion medica a un usuario,00:01:52
26/7/2019,13:26:12,A,Servicio con demora debido a la atencion medica a un usuario,00:01:50
30/4/2019,08:42:09,B,Servicio interrumpido por medida de fuerza gremial,42:11:53
29/5/2019,08:26:11,B,Servicio interrumpido por medida de fuerza gremial,20:31:52
16/6/2019,15:44:10,B,Interrumpida por falta de suministro de energ韆 el閏trica debido a causas ajenas,09:00:00
25/3/2019,19:00:07,B,Servicio Limitado entre Rosas y Florida por operativo de seguridad en la v韆 p鷅lica,07:57:57
29/11/2019,08:36:14,B,Servicio interrumpido por medida de fuerza gremial,07:23:58
12/2/2019,13:36:07,B,Servicio Limitado entre J. M. de Rosas y Medrano,03:57:56
6/9/2019,16:14:08,B,Servicio interrumpido por medida de fuerza gremial,03:47:55
4/11/2019,14:18:07,B,Servicio con demora por factores clim醫icos.,03:22:01
13/1/2019,13:18:02,B,Los trenes no se detienen en Callao con destino a L. N. Alem,03:02:02
20/11/2019,08:32:05,B,Servicio interrumpido por medida de fuerza gremial,02:58:19
18/3/2019,14:18:09,B,Por atenci髇 m閐ica a un usuario Los trenes no se detienen en Pueyrred髇,02:47:59
12/6/2019,21:02:03,B,Servicio Limitado entre J. M. de Rosas y Medrano,02:46:06
29/8/2019,19:06:10,B,Servicio Limitado entre J. M. de Rosas y Medrano,02:46:00
19/10/2019,19:34:05,B,Trenes no se detienen en Carlos Pellegrini por operativo de seguridad en superficie,02:44:08
31/5/2019,18:32:02,B,Los trenes no se detienen en Medrano,02:42:01
29/8/2019,00:10:13,B,Servicio interrumpido por medida de fuerza gremial,02:37:52
15/1/2019,20:58:08,B,Con demora por factores clim醫icos,02:33:55
16/1/2019,00:02:08,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,02:09:56
9/8/2019,22:14:12,B,Servicio con demora debido a un problema t閏nico en una formaci髇,01:59:56
16/1/2019,10:42:08,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,01:57:56
22/1/2019,21:38:09,B,Interrumpida por falta de suministro de energ韆 el閏trica debido a causas ajenas,01:51:58
14/8/2019,08:40:05,B,Servicio interrumpido por medida de fuerza gremial,01:50:13
8/8/2019,08:36:11,B,Interrumpida por medida de fuerza gremial,01:45:57
4/7/2019,20:40:02,B,Servicio con demora,01:42:02
12/11/2019,22:24:04,B,Servicio con demora por una formaci髇 detenida debido a una causa t閏nica.,01:36:15
19/10/2019,17:58:04,B,Los trenes no se detienen en la estaci髇 C. Pellegrini por operativo de seguridad,01:34:06
31/5/2019,21:42:04,B,Servicio con demora,01:33:58
9/5/2019,21:52:10,B,Servicio con demora por anegamiento de v韆s,01:31:52
28/10/2019,00:28:03,B,Los trenes no se detienen en la estaci髇 Dorrego,01:28:09
4/5/2019,14:48:09,B,Servicio Limitado entre J. M. de Rosas y Medrano,01:16:01
11/7/2019,21:38:06,B,Servicio con demora debido a un problema t閏nico en una formaci髇,01:12:02
25/7/2019,19:44:03,B,Servicio con demora debido a un problema t閏nico,01:12:00
19/10/2019,22:20:12,B,Los trenes no se detienen en C. Pellegrini por operativo de seguridad en superficie,01:09:52
27/2/2019,21:32:04,B,Servicio con demora debido a un problema t閏nico,01:08:00
11/5/2019,23:58:10,B,Servicio limitado entre L. N. Alem y Los Incas,01:08:00
22/1/2019,23:36:08,B,Servicio con demora,01:07:55
20/9/2019,23:46:02,B,Servicio con demora debido a un problema t閏nico en una formaci髇,01:06:00
8/4/2019,21:52:03,B,Servicio con demora,01:04:05
3/5/2019,12:38:09,B,Servicio Limitado entre J. M. de Rosas y Medrano,01:01:54
29/10/2019,08:42:05,B,Servicio limitado entre las estaciones Juan Manuel de Rosas y Dorrego,01:00:08
2/3/2019,11:56:06,B,Los trenes no se detienen en Uruguay,00:59:58
16/1/2019,09:42:02,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,00:58:08
16/1/2019,08:42:04,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,00:58:04
19/9/2019,20:44:05,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:56:05
18/10/2019,15:40:16,B,Servicio con demora por formaci髇 detenida debido a una causa t閏nica.,00:55:50
27/12/2019,00:42:08,B,Servicio con demora debido a una causa t閏nica.,00:53:53
8/11/2019,12:42:14,B,Servicio limitado entre las estaciones Juan Manuel de Rosas y Carlos Pellegrini,00:53:49
23/11/2019,20:06:08,B,Servicio interrumpido,00:52:02
28/3/2019,22:44:02,B,Servicio con demora,00:52:01
24/6/2019,23:00:10,B,Servicio con demora debido a un problema t閏nico,00:50:01
12/6/2019,23:52:03,B,Servicio con demora,00:48:03
14/6/2019,18:26:05,B,Servicio con demora,00:47:57
27/2/2019,12:08:05,B,Servicio con demora,00:46:00
25/10/2019,20:24:07,B,Servicio limitado entre las estaciones Leandro N. Alem y Angel Gallardo,00:45:59
27/2/2019,13:00:08,B,Servicio con demora debido a un problema t閏nico,00:41:55
18/6/2019,11:16:09,B,Servicio con demora,00:41:54
12/1/2019,15:56:02,B,Servicio limitado entre L. N. Alem y Federico Lacroze,00:40:05
25/6/2019,11:32:07,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:40:02
