FECHAyHORA,FECHA,HORA,LINEA,MOTIVO,DURACION_(MINUTOS)
13/10/2019 17:58,13/10/2019,17:58:08,B,Servicio Limitado entre las estaciones JuanManuel de Rosas y Medrano,00
12/10/2019 15:30,12/10/2019,15:30:12,B,Servicio con demora,15
9/10/2019 23:12,09/10/2019,23:12:09,B,Servicio con demora,08
9/10/2019 22:52,09/10/2019,22:52:10,B,Servicio limitado entre las estaciones Juan Manuel de Rosas y Carlos Pellegrini,13
9/10/2019 22:46,09/10/2019,22:46:02,B,Servicio con demora por formaci�n detenida debido a una causa t�cnica.,04
7/10/2019 20:32,07/10/2019,20:32:05,B,Servicio con demora debido a una causa t�cnica.,09
3/10/2019 17:36,03/10/2019,17:36:06,B,Servicio con demora,15
3/10/2019 17:28,03/10/2019,17:28:03,B,Servicio limitado entre las estaciones Juan Manuel de Rosas y Carlos Pellegrini,04
3/10/2019 16:38,03/10/2019,16:38:13,B,Servicio con demora por procedimiento policial.,13
2/10/2019 15:34,02/10/2019,15:34:09,B,Servicio limitado entre Alem - Gallardo y Dorrego-Rosas,07
2/10/2019 15:26,02/10/2019,15:26:09,B,Servicio limitado entre las estaciones Leandro N. Alem y Angel Gallardo,06
1/10/2019 20:00,01/10/2019,20:00:15,B,Servicio con demora debido a una causa t�cnica.,21
23/9/2019 21:30,23/09/2019,21:30:09,B,Servicio con demora debido a un problema t�cnico en una formaci�n,18
23/9/2019 20:44,23/09/2019,20:44:02,B,Servicio con demora,12
23/9/2019 20:30,23/09/2019,20:30:13,B,Servicio limitado entre las estaciones Juan Manuel de Rosas y Carlos Pellegrini,05
20/9/2019 23:46,20/09/2019,23:46:02,B,Servicio con demora debido a un problema t�cnico en una formaci�n,66
19/9/2019 20:44,19/09/2019,20:44:05,B,Servicio con demora debido a un problema t�cnico en una formaci�n,56
17/9/2019 21:30,17/09/2019,21:30:01,B,Servicio con demora debido a un problema t�cnico en una formaci�n,22
13/9/2019 10:28,13/09/2019,10:28:03,B,Con demora debido a la atenci�n m�dica a un usuario a bordo de formaci�n,13
12/9/2019 15:52,12/09/2019,15:52:03,B,Servicio con demora debido a un problema t�cnico en una formaci�n,12
6/9/2019 16:14,06/09/2019,16:14:08,B,Servicio interrumpido por medida de fuerza gremial,227
6/9/2019 16:02,06/09/2019,16:02:19,B,Interrumpida por medida de fuerza gremial,09
3/9/2019 22:20,03/09/2019,22:20:05,B,Servicio con demora,02
3/9/2019 22:00,03/09/2019,22:00:11,B,Servicio limitado entre L. N. Alem y Los Incas,13
3/9/2019 21:58,03/09/2019,21:58:03,B,Servicio con demora debido a un problema t�cnico,00
29/8/2019 21:58,29/08/2019,21:58:04,B,Servicio con demora,26
29/8/2019 19:06,29/08/2019,19:06:10,B,Servicio Limitado entre J. M. de Rosas y Medrano,166
29/8/2019 00:10,29/08/2019,00:10:13,B,Servicio interrumpido por medida de fuerza gremial,157
28/8/2019 23:38,28/08/2019,23:38:08,B,Interrumpida por medida de fuerza gremial,30
27/8/2019 12:14,27/08/2019,12:14:02,B,Servicio con demora debido a un problema t�cnico en una formaci�n,06
24/8/2019 09:30,24/08/2019,09:30:13,B,Servicio limitado entre L. N. Alem y Los Incas,00
20/8/2019 21:52,20/08/2019,21:52:02,B,Con demora debido a un problema operativo,06
20/8/2019 19:20,20/08/2019,19:20:05,B,Servicio con demora,21
20/8/2019 19:08,20/08/2019,19:08:02,B,Servicio limitado entre L. N. Alem y Federico Lacroze,08
20/8/2019 17:20,20/08/2019,17:20:02,B,Servicio con demora,18
20/8/2019 17:04,20/08/2019,17:04:10,B,Servicio limitado entre Alem - Gallardo y Dorrego-Rosas,10
20/8/2019 17:00,20/08/2019,17:00:02,B,Servicio con demora debido a un problema t�cnico en una formaci�n,02
16/8/2019 22:32,16/08/2019,22:32:03,B,Servicio con demora debido a un problema t�cnico,17
16/8/2019 15:00,16/08/2019,15:00:02,B,Servicio con demora,24
16/8/2019 14:54,16/08/2019,14:54:02,B,Servicio limitado entre Alem - Gallardo y Dorrego-Rosas,02
16/8/2019 12:28,16/08/2019,12:28:14,B,Servicio con demora debido a un problema t�cnico,08
16/8/2019 11:32,16/08/2019,11:32:04,B,Servicio con demora debido a un problema t�cnico,31
15/8/2019 17:10,15/08/2019,17:10:03,B,Servicio con demora,08
15/8/2019 16:56,15/08/2019,16:56:05,B,Servicio limitado entre L. N. Alem y Federico Lacroze,09
14/8/2019 08:40,14/08/2019,08:40:05,B,Servicio interrumpido por medida de fuerza gremial,110
14/8/2019 08:36,14/08/2019,08:36:02,B,Interrumpida por medida de fuerza gremial,02
12/8/2019 20:34,12/08/2019,20:34:03,B,Servicio con demora debido a un problema t�cnico en una formaci�n,10
12/8/2019 20:30,12/08/2019,20:30:10,B,Con demora por una formaci�n detenida debido a un problema t�cnico,01
9/8/2019 22:14,09/08/2019,22:14:12,B,Servicio con demora debido a un problema t�cnico en una formaci�n,119
8/8/2019 21:22,08/08/2019,21:22:06,B,Servicio limitado entre L. N. Alem y Los Incas,01
8/8/2019 08:36,08/08/2019,08:36:11,B,Interrumpida por medida de fuerza gremial,105
7/8/2019 21:58,07/08/2019,21:58:02,B,Servicio con demora debido a un problema t�cnico en una formaci�n,30
7/8/2019 20:40,07/08/2019,20:40:11,B,Servicio con demora debido a un problema t�cnico en una formaci�n,00
2/8/2019 21:36,02/08/2019,21:36:05,B,Servicio con demora debido a un problema t�cnico en una formaci�n,29
31/7/2019 20:30,31/07/2019,20:30:02,B,Con demora por procedimiento policial,04
29/7/2019 22:04,29/07/2019,22:04:02,B,Servicio con demora,20
29/7/2019 21:32,29/07/2019,21:32:02,B,Servicio Limitado entre J. M. de Rosas y Medrano,26
29/7/2019 21:28,29/07/2019,21:28:13,B,Servicio con demora debido a un problema t�cnico en una formaci�n,01
26/7/2019 19:12,26/07/2019,19:12:02,B,Servicio con demora,00
25/7/2019 19:44,25/07/2019,19:44:03,B,Servicio con demora debido a un problema t�cnico,72
25/7/2019 11:42,25/07/2019,11:42:12,B,Con demora debido a la atenci�n m�dica a un usuario a bordo de formaci�n,17
23/7/2019 18:48,23/07/2019,18:48:10,B,Servicio con demora debido a un problema t�cnico en una formaci�n,04
22/7/2019 23:48,22/07/2019,23:48:12,B,Servicio con demora debido a un problema t�cnico en una formaci�n,22
19/7/2019 23:42,19/07/2019,23:42:02,B,Servicio con demora debido a un problema t�cnico en una formaci�n,26
15/7/2019 16:36,15/07/2019,16:36:10,B,Servicio con demora debido a un problema t�cnico en una formaci�n,11
15/7/2019 15:02,15/07/2019,15:02:10,B,Servicio con demora debido a un problema t�cnico en una formaci�n,15
15/7/2019 12:46,15/07/2019,12:46:03,B,Servicio con demora debido a un problema t�cnico en una formaci�n,18
14/7/2019 14:20,14/07/2019,14:20:05,B,Servicio limitado: L.N.Alem - A. Gallardo y F. Lacroze - J.M.de Rosas,34
14/7/2019 14:12,14/07/2019,14:12:02,B,Servicio limitado entre L. N. Alem y Angel Gallardo,06
12/7/2019 22:50,12/07/2019,22:50:02,B,Con demora debido a la atenci�n m�dica a un usuario a bordo de formaci�n,10
11/7/2019 21:38,11/07/2019,21:38:06,B,Servicio con demora debido a un problema t�cnico en una formaci�n,72
11/7/2019 00:16,11/07/2019,00:16:05,B,Servicio Limitado entre J. M. de Rosas y Medrano,08
6/7/2019 23:42,06/07/2019,23:42:02,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,36
5/7/2019 20:50,05/07/2019,20:50:12,B,Servicio con demora,00
5/7/2019 20:40,05/07/2019,20:40:11,B,Servicio limitado entre L. N. Alem y Angel Gallardo,03
5/7/2019 20:38,05/07/2019,20:38:11,B,Servicio con demora debido a la atenci�n m�dica a un usuario,00
5/7/2019 10:44,05/07/2019,10:44:10,B,Servicio con demora debido a un problema t�cnico en una formaci�n,15
5/7/2019 09:00,05/07/2019,09:00:12,B,Servicio con demora,29
5/7/2019 08:32,05/07/2019,08:32:11,B,Interrupci�n debido a un problema t�cnico en una formaci�n,19
4/7/2019 20:40,04/07/2019,20:40:02,B,Servicio con demora,102
4/7/2019 19:48,04/07/2019,19:48:09,B,Servicio con demora debido a un problema t�cnico en una formaci�n,25
3/7/2019 01:34,03/07/2019,01:34:10,B,Servicio normalizado,00
3/7/2019 01:26,03/07/2019,01:26:04,B,Con demora hacia J. M. de Rosas debido a un problema t�cnico,05
2/7/2019 21:50,02/07/2019,21:50:06,B,Servicio con demora,05
2/7/2019 20:52,02/07/2019,20:52:11,B,Servicio con demora debido a un problema t�cnico,09
2/7/2019 19:20,02/07/2019,19:20:08,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,10
2/7/2019 17:30,02/07/2019,17:30:02,B,Servicio con demora,18
2/7/2019 17:20,02/07/2019,17:20:02,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,06
2/7/2019 10:26,02/07/2019,10:26:02,B,Servicio con demora,09
2/7/2019 10:14,02/07/2019,10:14:07,B,Servicio limitado entre L. N. Alem y Los Incas,08
2/7/2019 08:46,02/07/2019,08:46:01,B,Servicio limitado entre L. N. Alem y Los Incas,06
26/6/2019 12:18,26/06/2019,12:18:10,B,Servicio con demora debido a un problema t�cnico en una formaci�n,13
25/6/2019 21:40,25/06/2019,21:40:12,B,Servicio con demora,07
25/6/2019 21:34,25/06/2019,21:34:02,B,Servicio Limitado entre J. M. de Rosas y Medrano,00
25/6/2019 21:28,25/06/2019,21:28:07,B,Servicio con demora,03
25/6/2019 12:46,25/06/2019,12:46:02,B,Servicio con demora,32
25/6/2019 12:14,25/06/2019,12:14:08,B,Servicio limitado entre L. N. Alem y Los Incas,25
25/6/2019 11:32,25/06/2019,11:32:07,B,Servicio con demora debido a un problema t�cnico en una formaci�n,40
24/6/2019 23:00,24/06/2019,23:00:10,B,Servicio con demora debido a un problema t�cnico,50
24/6/2019 19:40,24/06/2019,19:40:11,B,Servicio con demora debido a un problema t�cnico,07
18/6/2019 12:38,18/06/2019,12:38:02,B,Servicio con demora debido a un problema t�cnico en una formaci�n,10
18/6/2019 11:16,18/06/2019,11:16:09,B,Servicio con demora,41
18/6/2019 10:42,18/06/2019,10:42:09,B,Los trenes no se detienen en Pueyrred�n con destino a J. M. de Rosas,29
16/6/2019 15:44,16/06/2019,15:44:10,B,Interrumpida por falta de suministro de energ�a el�ctrica debido a causas ajenas,540
14/6/2019 18:26,14/06/2019,18:26:05,B,Servicio con demora,47
14/6/2019 18:16,14/06/2019,18:16:03,B,Servicio Limitado entre J. M. de Rosas y Medrano,06
14/6/2019 18:12,14/06/2019,18:12:05,B,Servicio con demora debido a la atenci�n m�dica a un usuario,02
12/6/2019 23:52,12/06/2019,23:52:03,B,Servicio con demora,48
12/6/2019 21:02,12/06/2019,21:02:03,B,Servicio Limitado entre J. M. de Rosas y Medrano,166
12/6/2019 20:50,12/06/2019,20:50:12,B,Servicio con demora debido a un problema t�cnico en una formaci�n,09
10/6/2019 21:10,10/06/2019,21:10:02,B,Servicio con demora,20
10/6/2019 20:54,10/06/2019,20:54:09,B,Servicio Limitado entre J. M. de Rosas y Medrano,11
9/6/2019 11:48,09/06/2019,11:48:05,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,09
8/6/2019 15:02,08/06/2019,15:02:04,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,26
7/6/2019 22:12,07/06/2019,22:12:02,B,Servicio con demora,15
31/5/2019 21:42,31/05/2019,21:42:04,B,Servicio con demora,93
31/5/2019 21:22,31/05/2019,21:22:03,B,Servicio Limitado entre J. M. de Rosas y Medrano,15
31/5/2019 21:16,31/05/2019,21:16:10,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,03
31/5/2019 18:32,31/05/2019,18:32:02,B,Los trenes no se detienen en Medrano,162
31/5/2019 17:58,31/05/2019,17:58:03,B,Los trenes no se detienen en Medrano,32
31/5/2019 17:34,31/05/2019,17:34:03,B,Trenes con destino a Juan Manuel de Rosas no se detienen en Medrano,22
29/5/2019 08:26,29/05/2019,08:26:11,B,Servicio interrumpido por medida de fuerza gremial,1231
28/5/2019 15:56,28/05/2019,15:56:03,B,Servicio Limitado entre J. M. de Rosas y Medrano,02
28/5/2019 15:54,28/05/2019,15:54:02,B,Servicio con demora debido a la atenci�n m�dica a un usuario,00
27/5/2019 20:30,27/05/2019,20:30:11,B,Servicio con demora debido a un problema t�cnico en una formaci�n,15
27/5/2019 14:38,27/05/2019,14:38:11,B,Servicio con demora,21
27/5/2019 14:22,27/05/2019,14:22:02,B,Servicio limitado entre Alem - Gallardo y Dorrego-Rosas,12
27/5/2019 14:14,27/05/2019,14:14:09,B,Servicio con demora debido a un problema t�cnico en una formaci�n,06
24/5/2019 21:58,24/05/2019,21:58:03,B,Servicio con demora,16
24/5/2019 11:52,24/05/2019,11:52:10,B,Servicio con demora debido a la atenci�n m�dica a un usuario,09
24/5/2019 11:34,24/05/2019,11:34:04,B,Con demora debido a la atenci�n m�dica a un usuario a bordo de formaci�n,16
22/5/2019 21:28,22/05/2019,21:28:02,B,Servicio con demora debido a un problema t�cnico en una formaci�n,38
21/5/2019 09:48,21/05/2019,09:48:01,B,Servicio con demora debido a un problema t�cnico,20
15/5/2019 16:46,15/05/2019,16:46:09,B,Servicio con demora,15
11/5/2019 23:58,11/05/2019,23:58:10,B,Servicio limitado entre L. N. Alem y Los Incas,68
10/5/2019 17:02,10/05/2019,17:02:04,B,Servicio con demora,16
10/5/2019 16:34,10/05/2019,16:34:02,B,Servicio limitado entre Alem - Gallardo y Dorrego-Rosas,22
10/5/2019 16:28,10/05/2019,16:28:03,B,Servicio limitado entre L. N. Alem y Angel Gallardo,04
10/5/2019 16:22,10/05/2019,16:22:08,B,Servicio con demora debido a un problema t�cnico,04
10/5/2019 14:14,10/05/2019,14:14:10,B,Servicio con demora,11
10/5/2019 13:56,10/05/2019,13:56:02,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,14
10/5/2019 13:44,10/05/2019,13:44:04,B,Servicio con demora debido a un problema t�cnico en una formaci�n,10
9/5/2019 21:52,09/05/2019,21:52:10,B,Servicio con demora por anegamiento de v�as,91
8/5/2019 13:24,08/05/2019,13:24:09,B,Servicio con demora debido a un problema t�cnico en una formaci�n,19
7/5/2019 13:50,07/05/2019,13:50:12,B,Servicio con demora,09
7/5/2019 13:40,07/05/2019,13:40:11,B,Servicio limitado entre Alem - Gallardo y Dorrego-Rosas,05
7/5/2019 13:34,07/05/2019,13:34:02,B,Servicio limitado entre L. N. Alem y Angel Gallardo,04
7/5/2019 13:32,07/05/2019,13:32:10,B,Con demora debido a la atenci�n m�dica a un usuario a bordo de formaci�n,00
6/5/2019 11:06,06/05/2019,11:06:02,B,Servicio con demora debido a la atenci�n m�dica a un usuario,08
4/5/2019 14:48,04/05/2019,14:48:09,B,Servicio Limitado entre J. M. de Rosas y Medrano,76
4/5/2019 14:40,04/05/2019,14:40:09,B,Servicio interrumpido,05
3/5/2019 13:46,03/05/2019,13:46:02,B,Servicio con demora,12
3/5/2019 12:38,03/05/2019,12:38:09,B,Servicio Limitado entre J. M. de Rosas y Medrano,61
2/5/2019 08:42,02/05/2019,08:42:03,B,Interrupci�n debido a un problema t�cnico,07
30/4/2019 08:42,30/04/2019,08:42:09,B,Servicio interrumpido por medida de fuerza gremial,2531
16/4/2019 11:52,16/04/2019,11:52:09,B,Servicio con demora debido a un problema t�cnico en una formaci�n,30
15/4/2019 15:58,15/04/2019,15:58:11,B,Servicio limitado entre L. N. Alem y Angel Gallardo,05
15/4/2019 09:58,15/04/2019,09:58:03,B,Servicio con demora debido a un problema t�cnico en una formaci�n,30
