orden;Fecha;Linea;Mensaje;Duración;segundos
938;23.07.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:07;85807
939;23.07.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:07;85807
940;23.07.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:07;85807
941;23.07.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:07;85807
942;23.07.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:07;85807
943;22.07.2020 11:28:08;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:25:57;77157
944;22.07.2020 11:16:08;B;Ya realiza recorrido completo entre cabeceras.;00:09:55;595
945;22.07.2020 10:24:04;B;Servicio limitado entre las estaciones Leandro N. Alem y Los Incas;00:49:57;2997
946;22.07.2020 09:02:08;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:57;85917
947;22.07.2020 09:02:08;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;01:19:57;4797
948;22.07.2020 09:02:08;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:57;85917
949;22.07.2020 09:02:08;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:57;85917
950;22.07.2020 09:02:08;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:57;85917
951;22.07.2020 09:02:08;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:57;85917
952;21.07.2020 14:28:06;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;18:21:59;66119
953;21.07.2020 14:24:05;E;Ya realiza recorrido completo entre cabeceras.;00:01:59;119
954;21.07.2020 14:04:05;E;Servicio limitado entre las estaciones Bolívar y Plaza de los Virreyes;00:18:02;1082
955;21.07.2020 14:00:15;E;Servicio limitado entre las estaciones Plaza de los Virreyes y Entre Ríos;00:01:47;107
956;21.07.2020 11:30:09;P;Ya realiza recorrido completo entre cabeceras.;00:03:56;236
957;21.07.2020 09:26:01;P;Servicio limitado entre las estaciones Intendete Saguier y Genaral savio;02:02:03;7323
958;21.07.2020 09:00:04;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:01;85801
959;21.07.2020 09:00:04;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:01;85801
960;21.07.2020 09:00:04;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:01;85801
961;21.07.2020 09:00:04;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:01;85801
962;21.07.2020 09:00:04;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;04:58:02;17882
963;21.07.2020 09:00:04;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:01;85801
964;20.07.2020 23:28:09;P;Servicio limitado entre las estaciones Intendente Saguier y Centro Cívico;00:45:53;2753
965;20.07.2020 23:20:02;P;Servicio limitado Saguier y Cívico por falta de polícia afectada a protocolo de Covid19.;00:06:02;362
966;20.07.2020 09:02:08;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:55;85795
967;20.07.2020 09:02:08;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:55;85795
968;20.07.2020 09:02:08;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:55;85795
969;20.07.2020 09:02:08;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:55;85795
970;20.07.2020 09:02:08;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:55;85795
971;20.07.2020 09:02:08;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:55;85795
972;19.07.2020 11:02:03;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:48:01;78481
973;19.07.2020 11:02:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:48:01;78481
974;19.07.2020 11:02:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:48:01;78481
975;19.07.2020 11:02:03;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:48:01;78481
976;19.07.2020 11:02:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:48:01;78481
977;19.07.2020 11:02:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:48:01;78481
978;19.07.2020 00:34:04;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;10:22:06;37326
979;18.07.2020 14:06:04;B;Los trenes no se detienen en la estación Pueyrredón;10:26:00;37560
980;18.07.2020 12:58:12;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;01:06:02;3962
981;18.07.2020 12:54:10;B;Ya realiza recorrido completo entre cabeceras.;00:01:53;113
982;18.07.2020 12:18:08;B;Servicio limitado entre las estaciones Juan Manuel de Rosas y Carlos Pellegrini;00:34:03;2043
983;18.07.2020 09:02:04;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:06;93246
984;18.07.2020 09:02:04;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;03:14:02;11642
985;18.07.2020 09:02:04;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:06;93246
986;18.07.2020 09:02:04;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:06;93246
987;18.07.2020 09:02:04;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:06;93246
988;18.07.2020 09:02:04;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:06;93246
989;17.07.2020 09:00:14;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:55;86155
990;17.07.2020 09:00:14;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:55;86155
991;17.07.2020 09:00:14;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:55;86155
992;17.07.2020 09:00:14;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:55;86155
993;17.07.2020 09:00:14;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:55;86155
994;17.07.2020 09:00:14;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:55;86155
995;16.07.2020 21:38:04;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;11:12:00;40320
996;16.07.2020 21:32:17;B;Ya realiza recorrido completo entre cabeceras.;00:03:47;227
997;16.07.2020 21:08:09;B;Servicio limitado entre las estaciones Juan Manuel de Rosas y Carlos Pellegrini;00:22:07;1327
998;16.07.2020 14:18:16;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;18:31:48;66708
999;16.07.2020 14:14:05;D;Ya realiza recorrido completo entre cabeceras.;00:01:59;119
1000;16.07.2020 13:54:08;D;Servicio limitado entre las estaciones Congreso de Tucumán y 9 de Julio;00:17:55;1075
1001;16.07.2020 10:10:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;22:40:01;81601
1002;16.07.2020 10:06:11;E;Ya realiza recorrido completo entre cabeceras.;00:01:53;113
1003;16.07.2020 09:24:03;E;Servicio limitado entre las estaciones Plaza de los Virreyes y Av. La Plata;00:40:01;2401
1004;16.07.2020 09:00:17;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:47;85787
1005;16.07.2020 09:00:17;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;12:05:57;43557
1006;16.07.2020 09:00:17;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:47;85787
1007;16.07.2020 09:00:17;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;04:51:46;17506
1008;16.07.2020 09:00:17;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;00:21:52;1312
1009;16.07.2020 09:00:17;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:47;85787
1010;15.07.2020 09:02:04;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00;85680
1011;15.07.2020 09:02:04;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00;85680
1012;15.07.2020 09:02:04;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00;85680
1013;15.07.2020 09:02:04;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00;85680
1014;15.07.2020 09:02:04;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00;85680
1015;15.07.2020 09:02:04;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00;85680
1016;14.07.2020 17:22:08;U;Servicio con demora.;00:53:57;3237
1017;14.07.2020 16:18:03;U;Servicio interrumpido por arrollamiento de persona.;01:00:10;3610
1018;14.07.2020 15:36:14;U;Servicio con demora por arrollamiento de persona.;00:39:54;2394
1019;14.07.2020 09:02:03;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:05;85805
1020;14.07.2020 09:02:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:05;85805
1021;14.07.2020 09:02:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:05;85805
1022;14.07.2020 09:02:03;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:05;85805
1023;14.07.2020 09:02:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:05;85805
1024;14.07.2020 09:02:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:05;85805
1025;13.07.2020 09:00:12;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:47:57;85677
1026;13.07.2020 09:00:12;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:47:57;85677
1027;13.07.2020 09:00:12;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:47:57;85677
1028;13.07.2020 09:00:12;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:47:57;85677
1029;13.07.2020 09:00:12;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:47:57;85677
1030;13.07.2020 09:00:12;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:47:57;85677
1031;11.07.2020 20:50:14;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;35:59:50;129590
1032;11.07.2020 20:22:08;D;Servicio limitado entre las estaciones Congreso de Tucumán y 9 de Julio;00:24:08;1448
1033;11.07.2020 09:02:04;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:48:00;172080
1034;11.07.2020 09:02:04;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:48:00;172080
1035;11.07.2020 09:02:04;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:48:00;172080
1036;11.07.2020 09:02:04;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;11:18:00;40680
1037;11.07.2020 09:02:04;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:48:00;172080
1038;11.07.2020 09:02:04;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:48:00;172080
1039;10.07.2020 18:00:21;P;Ya realiza su recorrido completo entre cabeceras;00:01:43;103
1040;10.07.2020 17:30:04;P;Servicio limitado entre las estaciones Intendente Saguier y Centro Cívico;00:28:03;1683
1041;10.07.2020 11:02:13;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:56:02;78962
1042;10.07.2020 11:02:13;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:56:02;78962
1043;10.07.2020 11:02:13;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:56:02;78962
1044;10.07.2020 11:02:13;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:56:02;78962
1045;10.07.2020 11:02:13;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:56:02;78962
1046;10.07.2020 11:02:13;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:56:02;78962
1047;09.07.2020 14:56:04;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;20:02:07;72127
1048;09.07.2020 14:52:16;A;Ya realiza el recorrido completo entre las estaciones Perú y San Pedrito;00:01:53;113
1049;09.07.2020 14:46:05;A;Servicio limitado entre las estaciones San José de Flores y Perú;00:04:08;248
1050;09.07.2020 11:02:07;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;03:42:01;13321
1051;09.07.2020 11:02:07;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:04;86164
1052;09.07.2020 11:02:07;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:04;86164
1053;09.07.2020 11:02:07;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:04;86164
1054;09.07.2020 11:02:07;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:04;86164
1055;09.07.2020 11:02:07;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:04;86164
1056;08.07.2020 18:14:15;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;16:43:48;60228
1057;08.07.2020 18:10:16;E;Ya realiza recorrido completo entre cabeceras.;00:01:47;107
1058;08.07.2020 16:10:05;E;Servicio limitado entre las estaciones Retiro y Avenida La Plata;01:58:02;7082
