orden;Fecha;Linea;Mensaje;Duración;segundos
1;28.11.2020 09:02:02;A;Servicio limitado Lima y San Pedrito Por obras de mejora;08:46:00;31560
2;28.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;08:46:00;31560
3;28.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;08:46:00;31560
4;28.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;08:46:00;31560
5;28.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;08:46:00;31560
6;28.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;08:46:00;31560
7;27.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01;86161
8;27.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01;86161
9;27.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01;86161
10;27.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01;86161
11;27.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01;86161
12;27.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:01;86161
13;27.11.2020 01:32:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:22:00;26520
14;27.11.2020 01:32:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:22:00;26520
15;27.11.2020 01:32:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:22:00;26520
16;26.11.2020 23:48:01;P;Reanuda su servicio y realiza el recorrido completo entre cabeceras;00:02:00;120
17;26.11.2020 21:30:02;P;Servicio interrumpido;02:16:00;8160
18;26.11.2020 14:06:03;A;Servicio limitado Lima y San Pedrito por operativo de seguridad en la vía pública.;11:23:59;41039
19;26.11.2020 11:24:02;E;Los trenes no se detienen en Bolívar por operativo de seguridad en la vía pública;14:06:00;50760
20;26.11.2020 10:22:01;E;Los trenes no se detienen en la estación Bolivar;01:00:01;3601
21;26.11.2020 09:04:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:59;85799
22;26.11.2020 09:04:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:59;85799
23;26.11.2020 09:04:03;E;Los trenes no se detienen en Bolívar por operativo de seguridad en la vía pública;01:15:59;4559
24;26.11.2020 09:04:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:49:59;85799
25;26.11.2020 09:02:03;A;Servicio limitado Lima y San Pedrito Por operativo de seguridad en la vía pública;05:01:59;18119
26;26.11.2020 09:02:03;D;Servicio limitado 9 de Julio - C. de Tucumán Por operativo de seguridad en la vía pública;16:27:59;59279
27;26.11.2020 01:24:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:32:00;27120
28;26.11.2020 01:04:02;C;Servicio interrumpido debido a una causa técnica;00:18:00;1080
29;25.11.2020 18:00:03;P;Ya realiza su recorrido completo entre cabeceras;00:03:59;239
30;25.11.2020 17:16:02;P;Servicio interrumpido debido a una causa técnica;00:42:01;2521
31;25.11.2020 17:06:02;P;Servicio interrumpido por formación detenida debido a una causa técnica;00:08:00;480
32;25.11.2020 16:50:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;16:10:01;58201
33;25.11.2020 16:46:02;A;Ya circula con su frecuencia habitual;00:02:00;120
34;25.11.2020 16:38:02;A;Servicio con demora;00:06:00;360
35;25.11.2020 09:00:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:36:00;27360
36;25.11.2020 09:00:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:00;86160
37;25.11.2020 09:00:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;16:02:00;57720
38;25.11.2020 09:00:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:00:01;86401
39;25.11.2020 09:00:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:01;86521
40;25.11.2020 09:00:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:00;86160
41;24.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:46:00;85560
42;24.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:46:00;85560
43;24.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:46:00;85560
44;24.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:46:00;85560
45;24.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:46:00;85560
46;24.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:46:00;85560
47;23.11.2020 11:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:50:01;78601
48;23.11.2020 11:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:50:01;78601
49;23.11.2020 11:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:50:01;78601
50;23.11.2020 11:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:50:01;78601
51;23.11.2020 11:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:50:01;78601
52;23.11.2020 11:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:50:01;78601
53;22.11.2020 13:02:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:55:59;78959
54;22.11.2020 11:02:01;E;Inicia servicio a las 10hs por obras de mejora.;01:58:01;7081
55;22.11.2020 11:00:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00;86280
56;22.11.2020 11:00:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00;86280
57;22.11.2020 11:00:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00;86280
58;22.11.2020 11:00:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00;86280
59;22.11.2020 11:00:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00;86280
60;21.11.2020 12:58:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:57:59;79079
61;21.11.2020 12:54:02;E;Ya circula con su frecuencia habitual;00:02:00;120
62;21.11.2020 10:50:02;E;Servicio con demora;02:02:00;7320
63;21.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00;93240
64;21.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00;93240
65;21.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00;93240
66;21.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00;93240
67;21.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;01:46:00;6360
68;21.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00;93240
69;20.11.2020 12:12:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;20:46:00;74760
70;20.11.2020 11:52:02;C;Servicio con demora debido a una causa técnica.;00:18:00;1080
71;20.11.2020 09:02:03;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59;86159
72;20.11.2020 09:02:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59;86159
73;20.11.2020 09:02:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;02:45:59;9959
74;20.11.2020 09:02:03;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59;86159
75;20.11.2020 09:02:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59;86159
76;20.11.2020 09:02:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59;86159
77;19.11.2020 11:18:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:36:00;77760
78;19.11.2020 11:12:03;E;Ya realiza recorrido completo entre cabeceras.;00:04:00;240
79;19.11.2020 11:06:02;E;Servicio limitado entre las estaciones Correo Central y Plaza de los Virreyes;00:04:00;240
80;19.11.2020 10:18:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;00:46:00;2760
81;19.11.2020 10:12:02;E;Ya realiza recorrido completo entre cabeceras.;00:04:00;240
82;19.11.2020 09:08:03;E;Servicio limitado entre las estaciones Bolívar y Plaza de los Virreyes;01:01:59;3719
83;19.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
84;19.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
85;19.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
86;19.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
87;19.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;00:04:00;240
88;19.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
89;18.11.2020 09:04:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01;85681
90;18.11.2020 09:04:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01;85681
91;18.11.2020 09:04:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01;85681
92;18.11.2020 09:04:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01;85681
93;18.11.2020 09:04:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01;85681
94;18.11.2020 09:04:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01;85681
95;17.11.2020 09:04:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
96;17.11.2020 09:04:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
97;17.11.2020 09:04:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
98;17.11.2020 09:04:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
99;17.11.2020 09:04:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
100;17.11.2020 09:04:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
101;17.11.2020 01:32:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:24:00;26640
102;16.11.2020 21:32:02;B;Los trenes no se detienen en la estación Medrano con destino a Juan Manuel de Rosas;03:58:00;14280
103;16.11.2020 17:22:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;15:34:00;56040
104;16.11.2020 16:44:01;E;Servicio limitado entre las estaciones Retiro y Avenida La Plata;00:34:02;2042
105;16.11.2020 14:16:03;U;Ya circula con su frecuencia habitual.;00:01:59;119
106;16.11.2020 13:24:02;U;Servicio con demora.;00:50:00;3000
107;16.11.2020 13:18:01;U;Ya realiza su recorrido completo entre cabeceras;00:04:00;240
108;16.11.2020 12:40:02;U;Servicio limitado entre F. Lacroze - Lynch Lynch y Gral. Lemos - Martín Coronado;00:36:01;2161
109;16.11.2020 09:02:01;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:01;86041
110;16.11.2020 09:02:01;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;12:28:01;44881
111;16.11.2020 09:02:01;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:01;86041
112;16.11.2020 09:02:01;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:01;86041
113;16.11.2020 09:02:01;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:40:01;27601
114;16.11.2020 09:02:01;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:01;86041
115;15.11.2020 22:14:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;10:40:00;38400
116;15.11.2020 21:58:01;D;Servicio limitado entre las estaciones Congreso de Tucumán y Pueyrredón;00:12:02;722
117;15.11.2020 13:02:01;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;19:52:01;71521
118;15.11.2020 11:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:52:00;78720
119;15.11.2020 11:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:52:00;78720
120;15.11.2020 11:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:52:00;78720
121;15.11.2020 11:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;10:54:01;39241
122;15.11.2020 11:02:02;E;Inicia servicio a las 10hs por obras de mejora.;01:58:00;7080
123;15.11.2020 11:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:52:00;78720
124;14.11.2020 22:10:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;12:48:00;46080
125;14.11.2020 21:42:02;E;Servicio limitado Viirreyes - Av. La Plata y Bolívar - Retiro;00:24:01;1441
126;13.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;49:56:00;179760
127;13.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;49:56:00;179760
128;13.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;49:56:00;179760
129;13.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;49:56:00;179760
130;13.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;36:38:00;131880
131;13.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;49:56:00;179760
132;12.11.2020 09:00:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
133;12.11.2020 09:00:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
134;12.11.2020 09:00:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
135;12.11.2020 09:00:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
136;12.11.2020 09:00:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
137;12.11.2020 09:00:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
138;11.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
139;11.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
140;11.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
141;11.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
142;11.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
143;11.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
144;10.11.2020 19:32:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;13:19:59;47999
145;10.11.2020 19:28:02;H;Ya realiza recorrido completo entre cabeceras.;00:02:01;121
146;10.11.2020 19:10:02;H;Servicio limitado entre las estaciones Facultad de Derecho y Caseros;00:16:01;961
147;10.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
148;10.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
149;10.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
150;10.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
151;10.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
152;10.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;10:06:00;36360
153;09.11.2020 09:04:03;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59;85559
154;09.11.2020 09:04:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59;85559
155;09.11.2020 09:04:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59;85559
156;09.11.2020 09:04:03;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59;85559
157;09.11.2020 09:04:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59;85559
158;09.11.2020 09:04:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:45:59;85559
159;08.11.2020 13:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;19:54:00;71640
160;08.11.2020 11:02:01;E;Inicia servicio a las 10hs por obras de mejora.;01:58:01;7081
161;07.11.2020 09:00:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:56:00;172560
162;07.11.2020 09:00:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:56:00;172560
163;07.11.2020 09:00:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:56:00;172560
164;07.11.2020 09:00:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:56:00;172560
165;07.11.2020 09:00:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:58:00;93480
166;07.11.2020 09:00:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;47:56:00;172560
167;06.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
168;06.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
169;06.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
170;06.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
171;06.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
172;06.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00;86040
173;05.11.2020 09:18:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00;84840
174;05.11.2020 09:18:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00;84840
175;05.11.2020 09:18:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00;84840
176;05.11.2020 09:18:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00;84840
177;05.11.2020 09:18:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00;84840
178;05.11.2020 09:18:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:34:00;84840
179;04.11.2020 20:40:03;P;Ya circula con su frecuencia habitual;00:02:01;121
180;04.11.2020 16:56:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;16:16:00;58560
181;04.11.2020 16:50:02;A;Ya realiza recorrido completo entre cabeceras.;00:04:00;240
182;04.11.2020 16:46:02;A;Servicio Limitado entre las estaciones Acoyte y Perú;00:02:00;120
183;04.11.2020 16:42:02;A;Servicio con demora debido a una causa técnica.;00:02:00;120
184;04.11.2020 09:10:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:30:00;27000
185;04.11.2020 09:10:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:00;86520
186;04.11.2020 09:10:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:00;86520
187;04.11.2020 09:10:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:00;86520
188;04.11.2020 09:10:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:00;86520
189;04.11.2020 09:10:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:00;86520
190;03.11.2020 09:08:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00;85680
191;03.11.2020 09:08:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00;85680
192;03.11.2020 09:08:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00;85680
193;03.11.2020 09:08:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00;85680
194;03.11.2020 09:06:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
195;03.11.2020 09:06:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00;85800
196;02.11.2020 09:04:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:00;86160
197;02.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00;86280
198;02.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00;86280
199;02.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00;86280
200;02.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00;86280
201;02.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00;86280
202;01.11.2020 17:52:02;U;Ya realiza su recorrido completo entre cabeceras;00:03:59;239
203;01.11.2020 17:06:02;U;Servicio limitado entre las estaciones Gral. Lemos y Fco. Lynch;00:44:00;2640
204;01.11.2020 13:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;19:54:00;71640
205;01.11.2020 11:00:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:54:00;78840
206;01.11.2020 11:00:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:54:00;78840
207;01.11.2020 11:00:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:54:00;78840
208;01.11.2020 11:00:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:54:00;78840
209;01.11.2020 11:00:02;E;Inicia servicio a las 10hs por obras de mejora.;02:00:00;7200
210;01.11.2020 11:00:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:54:00;78840
211;31.10.2020 20:54:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;14:02:00;50520
212;31.10.2020 20:44:02;E;Servicio limitado entre las estaciones Correo Central y Plaza de los Virreyes;00:06:00;360
213;31.10.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00;93240
214;31.10.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00;93240
215;31.10.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00;93240
216;31.10.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00;93240
217;31.10.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;11:40:00;42000
218;31.10.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00;93240
219;30.10.2020 16:12:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;16:46:00;60360
220;30.10.2020 15:48:02;H;Servicio limitado entre las estaciones Facultad de Derecho y Corrientes;00:20:01;1201
221;30.10.2020 09:06:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
222;30.10.2020 09:06:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
223;30.10.2020 09:06:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
224;30.10.2020 09:06:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
225;30.10.2020 09:06:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
226;30.10.2020 09:06:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;06:40:00;24000
227;29.10.2020 15:48:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;17:09:59;61799
228;29.10.2020 14:44:03;C;Servicio limitado entre las estaciones Diagonal Norte y Constitución;00:59:58;3598
229;29.10.2020 11:42:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:15:59;76559
230;29.10.2020 11:20:03;E;Normaliza su servicio;00:19:59;1199
231;29.10.2020 09:36:03;E;Servicio con demora;01:42:00;6120
232;29.10.2020 09:06:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
233;29.10.2020 09:06:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
234;29.10.2020 09:06:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;05:36:00;20160
235;29.10.2020 09:06:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
236;29.10.2020 09:06:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;00:28:00;1680
237;29.10.2020 09:06:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00;85920
238;28.10.2020 11:42:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:18:00;76680
