orden;Fecha;Linea;Mensaje;Duración
58;22.11.2020 11:00:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00
59;22.11.2020 11:00:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00
60;21.11.2020 12:58:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:57:59
61;21.11.2020 12:54:02;E;Ya circula con su frecuencia habitual;00:02:00
62;21.11.2020 10:50:02;E;Servicio con demora;02:02:00
63;21.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00
64;21.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00
65;21.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00
66;21.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00
67;21.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;01:46:00
68;21.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00
69;20.11.2020 12:12:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;20:46:00
70;20.11.2020 11:52:02;C;Servicio con demora debido a una causa técnica.;00:18:00
71;20.11.2020 11:50:02;C;Servicio limitado entre las estaciones Diagonal Norte y Constitución;00:00:00
72;20.11.2020 09:02:03;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59
73;20.11.2020 09:02:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59
74;20.11.2020 09:02:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;02:45:59
75;20.11.2020 09:02:03;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59
76;20.11.2020 09:02:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59
77;20.11.2020 09:02:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:55:59
78;19.11.2020 11:18:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:36:00
79;19.11.2020 11:12:03;E;Ya realiza recorrido completo entre cabeceras.;00:04:00
80;19.11.2020 11:06:02;E;Servicio limitado entre las estaciones Correo Central y Plaza de los Virreyes;00:04:00
81;19.11.2020 10:18:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;00:46:00
82;19.11.2020 10:12:02;E;Ya realiza recorrido completo entre cabeceras.;00:04:00
83;19.11.2020 09:08:03;E;Servicio limitado entre las estaciones Bolívar y Plaza de los Virreyes;01:01:59
84;19.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
85;19.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
86;19.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
87;19.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
88;19.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;00:04:00
89;19.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
90;18.11.2020 09:04:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01
91;18.11.2020 09:04:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01
92;18.11.2020 09:04:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01
93;18.11.2020 09:04:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01
94;18.11.2020 09:04:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01
95;18.11.2020 09:04:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:01
96;17.11.2020 09:04:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
97;17.11.2020 09:04:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
98;17.11.2020 09:04:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
99;17.11.2020 09:04:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
100;17.11.2020 09:04:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
101;17.11.2020 09:04:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:00
102;17.11.2020 01:32:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:24:00
103;16.11.2020 21:32:02;B;Los trenes no se detienen en la estación Medrano con destino a Juan Manuel de Rosas;03:58:00
104;16.11.2020 17:22:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;15:34:00
105;16.11.2020 17:20:02;E;Ya realiza recorrido completo entre cabeceras.;00:00:00
106;16.11.2020 16:44:01;E;Servicio limitado entre las estaciones Retiro y Avenida La Plata;00:34:02
107;16.11.2020 14:16:03;U;Ya circula con su frecuencia habitual.;00:01:59
108;16.11.2020 13:24:02;U;Servicio con demora.;00:50:00
109;16.11.2020 13:18:01;U;Ya realiza su recorrido completo entre cabeceras;00:04:00
110;16.11.2020 12:40:02;U;Servicio limitado entre F. Lacroze - Lynch Lynch y Gral. Lemos - Martín Coronado;00:36:01
111;16.11.2020 09:02:01;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:01
112;16.11.2020 09:02:01;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;12:28:01
113;16.11.2020 09:02:01;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:01
114;16.11.2020 09:02:01;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:01
115;16.11.2020 09:02:01;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:40:01
116;16.11.2020 09:02:01;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:01
117;15.11.2020 22:14:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;10:40:00
118;15.11.2020 22:12:02;D;Ya realiza recorrido completo entre cabeceras.;00:00:00
119;15.11.2020 21:58:01;D;Servicio limitado entre las estaciones Congreso de Tucumán y Pueyrredón;00:12:02
120;15.11.2020 13:02:01;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;19:52:01
121;15.11.2020 11:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:52:00
122;15.11.2020 11:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:52:00
123;15.11.2020 11:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:52:00
124;15.11.2020 11:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;10:54:01
125;15.11.2020 11:02:02;E;Inicia servicio a las 10hs por obras de mejora.;01:58:00
126;15.11.2020 11:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:52:00
127;14.11.2020 22:10:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;12:48:00
128;14.11.2020 22:08:03;E;Ya realiza recorrido completo entre cabeceras.;00:00:00
129;14.11.2020 21:42:02;E;Servicio limitado Viirreyes - Av. La Plata y Bolívar - Retiro;00:24:01
130;13.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;49:56:00
131;13.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;49:56:00
132;13.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;49:56:00
133;13.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;49:56:00
134;13.11.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;36:38:00
135;13.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;49:56:00
